Date,Open,High,Low,Price
"Apr 04, 2017","1,253.10","1,260.30","1,253.00","1,255.00"
"Apr 03, 2017","1,247.50","1,252.40","1,243.60","1,250.80"
"Mar 31, 2017","1,242.10","1,248.80","1,238.70","1,247.30"
"Mar 30, 2017","1,253.10","1,253.60","1,241.10","1,245.00"
"Mar 29, 2017","1,252.20","1,253.40","1,252.10","1,253.40"
"Mar 28, 2017","1,255.90","1,255.90","1,255.30","1,255.30"
"Mar 27, 2017","1,255.80","1,257.70","1,253.80","1,255.40"
"Mar 24, 2017","1,248.00","1,248.30","1,247.60","1,248.20"
"Mar 23, 2017","1,246.40","1,247.50","1,244.80","1,246.90"
"Mar 22, 2017","1,247.90","1,249.50","1,247.70","1,249.30"
"Mar 21, 2017","1,226.40","1,246.10","1,226.40","1,246.10"
"Mar 20, 2017","1,229.30","1,234.40","1,229.30","1,233.60"
"Mar 17, 2017","1,227.10","1,230.90","1,227.10","1,229.80"
"Mar 16, 2017","1,222.20","1,231.40","1,222.20","1,226.50"
"Mar 15, 2017","1,198.20","1,221.20","1,197.70","1,200.10"
"Mar 14, 2017","1,203.10","1,205.90","1,196.80","1,201.90"
"Mar 13, 2017","1,206.20","1,210.00","1,202.30","1,202.40"
"Mar 10, 2017","1,196.20","1,203.30","1,196.20","1,200.70"
"Mar 09, 2017","1,204.50","1,205.60","1,202.30","1,202.40"
"Mar 08, 2017","1,212.20","1,212.20","1,206.70","1,208.50"
"Mar 07, 2017","1,224.30","1,225.40","1,213.70","1,215.10"
"Mar 06, 2017","1,235.20","1,235.20","1,224.50","1,224.50"
"Mar 03, 2017","1,231.70","1,235.20","1,222.90","1,225.50"
"Mar 02, 2017","1,247.20","1,247.60","1,230.70","1,231.90"
"Mar 01, 2017","1,247.80","1,248.90","1,236.90","1,248.90"
"Feb 28, 2017","1,253.60","1,257.30","1,247.20","1,252.60"
"Feb 27, 2017","1,254.70","1,263.10","1,250.40","1,257.40"
"Feb 24, 2017","1,250.00","1,258.80","1,250.00","1,256.90"
"Feb 23, 2017","1,236.10","1,250.30","1,236.10","1,250.20"
"Feb 22, 2017","1,236.10","1,238.60","1,231.80","1,232.00"
